Token,Label
every,B-FREQUENCY
morning,I-FREQUENCY
for,O
4,O
week,O
s,O
take,O
with,B-INSTRUCTION
or,I-INSTRUCTION
after,I-INSTRUCTION
food,I-INSTRUCTION
may,O
cause,O
drowsiness,B-NOTE
caution,O
may,O
affect,O
driving,O
medicine,O
allertec,B-MEDICATION_NAME
10mg,O
runny,B-NOTE
nose,I-NOTE
itch,O
allergy,B-NOTE
1,B-DOSAGE
tab,I-DOSAGE
in,O
the,B-FREQUENCY
morning,I-FREQUENCY
5,B-DOSAGE
tab,I-DOSAGE
medicine,B-MEDICATION_NAME
suniton,O
a,O
muscle,O
relaxant,O
pain,B-NOTE
fever,I-NOTE
1,O
or,O
2,O
tab,O
3,B-FREQUENCY
times,I-FREQUENCY
a,O
day,O
10,B-DOSAGE
tab,I-DOSAGE
may,O
cause,O
drowsiness,B-NOTE
ibuprofen,B-MEDICATION_NAME
f,O
c,O
400mg,O
20,O
tabs,O
take,O
1,B-DOSAGE
tab/s,I-DOSAGE
3,B-FREQUENCY
times,I-FREQUENCY
a,O
day,O
for,O
moderate,O
to,O
high,O
fever,B-NOTE
for,O
pain,B-NOTE
relief,O
inflammation,B-NOTE
celebrex,B-MEDICATION_NAME
cap,O
200mg,O
qty,O
10,O
00,O
cap/s,O
take,O
1,B-DOSAGE
cap/s,I-DOSAGE
2,B-FREQUENCY
times,I-FREQUENCY
a,O
day,O
painkiller,B-NOTE
anti,B-NOTE
inflammation,I-NOTE
take,O
after,B-INSTRUCTION
food,I-INSTRUCTION
telfast,B-MEDICATION_NAME
180mg,O
qty,O
10,O
00,O
tab/s,O
take,O
1,B-DOSAGE
tab/s,I-DOSAGE
1,B-FREQUENCY
time,I-FREQUENCY
a,O
day,O
for,O
nose/allergy,B-NOTE
itch,O
take,O
after,B-INSTRUCTION
food,I-INSTRUCTION
prednisolone,B-MEDICATION_NAME
5mg,O
qty,O
12,O
00,O
tab/s,O
take,O
1,B-DOSAGE
tab/s,I-DOSAGE
every,B-FREQUENCY
morning,I-FREQUENCY
take,O
after,B-INSTRUCTION
food,I-INSTRUCTION
montelukast,B-MEDICATION_NAME
10mg,O
qty,O
10,O
00,O
tab/s,O
take,O
1,B-DOSAGE
tab/s,I-DOSAGE
every,B-FREQUENCY
night,I-FREQUENCY
open,B-NOTE
airway,I-NOTE
take,O
after,B-INSTRUCTION
food,I-INSTRUCTION
propranolol,B-MEDICATION_NAME
tablet,O
10mg,O
take,O
1,B-DOSAGE
tab/s,I-DOSAGE
as,B-INSTRUCTION
needed,I-INSTRUCTION
for,O
for,O
acute,B-NOTE
panic,I-NOTE
attack,I-NOTE
